Accuracy,F1Score,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_Accuracy,val_F1Score,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss,Model Type,Epoch
0.9797126054763794,"tf.Tensor([0.974468  0.9831697], shape=(2,), dtype=float32)",75,8,0.9928315281867981,0.9366018772125244,1175,1108,0.059659854,0.8249158263206482,"tf.Tensor([0.7719298  0.85792345], shape=(2,), dtype=float32)",67,38,0.858208954,0.7744107842445374,259,230,0.8935396671295166,DEEPScreen,17
0.9932375550270081,"tf.Tensor([0.9915254  0.99437404], shape=(2,), dtype=float32)",31,4,0.9965397715568542,0.9737954139709473,1179,1152,0.031728293746709824,0.8350168466567993,"tf.Tensor([0.7878787 0.8650138], shape=(2,), dtype=float32)",64,36,0.8661710023880005,0.7845118045806885,261,233,0.8429778218269348,DEEPScreen,18
0.9864750504493713,"tf.Tensor([0.9831222 0.9887164], shape=(2,), dtype=float32)",48,6,0.9947414398193359,0.9594252109527588,1177,1135,0.038659822195768356,0.8316498398780823,"tf.Tensor([0.77064216 0.86702126], shape=(2,), dtype=float32)",72,40,0.849056602,0.7575757503509521,257,225,0.9781541228294373,DEEPScreen,19
0.995773435,"tf.Tensor([0.99472004 0.99647635], shape=(2,), dtype=float32)",19,2,0.9982847571372986,0.9839391112327576,1181,1164,0.017947040498256683,0.8282828330993652,"tf.Tensor([0.7713004 0.8625336], shape=(2,), dtype=float32)",67,40,0.8518518805503845,0.7744107842445374,257,230,1.0675690174102783,DEEPScreen,20
0.5849534869194031,"tf.Tensor([0.18302825 0.72181296], shape=(2,), dtype=float32)",998,170,0.5211267471313477,0.15638208389282227,1013,185,0.976892889,0.5993266105651855,"tf.Tensor([0.         0.74947363], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.6777206063270569,Alternative_CNN,1
0.6043956279754639,"tf.Tensor([0.02904564 0.7515923 ], shape=(2,), dtype=float32)",968,94,0.6957928538322449,0.18174134194850922,1089,215,0.6566035747528076,0.6632996797561646,"tf.Tensor([0.30555552 0.77777773], shape=(2,), dtype=float32)",89,107,0.6603174805641174,0.7003366947174072,190,208,0.6274926662445068,Alternative_CNN,2
0.7176669239997864,"tf.Tensor([0.59268284 0.78395855], shape=(2,), dtype=float32)",390,313,0.7169982194900513,0.6703296899795532,870,793,0.5716765522956848,0.7373737096786499,"tf.Tensor([0.59374994 0.80597013], shape=(2,), dtype=float32)",70,91,0.7138364911079407,0.7643097639083862,206,227,0.5791434049606323,Alternative_CNN,3
0.7869822382926941,"tf.Tensor([0.7224669  0.82716036], shape=(2,), dtype=float32)",228,290,0.7670682668685913,0.8072696328163147,893,955,0.45979300141334534,0.7676767706871033,"tf.Tensor([0.67298573 0.8198433 ], shape=(2,), dtype=float32)",80,65,0.7695035338401794,0.7306397557258606,232,217,0.5242542028427124,Alternative_CNN,4
0.8427726030349731,"tf.Tensor([0.79470193 0.8726027 ], shape=(2,), dtype=float32)",183,206,0.8291873931884766,0.8453085422515869,977,1000,0.37052592635154724,0.7407407164573669,"tf.Tensor([0.6804979  0.78186965], shape=(2,), dtype=float32)",98,63,0.7595419883728027,0.6700336933135986,234,199,0.5535690784454346,Alternative_CNN,5
0.8901098966598511,"tf.Tensor([0.86228806 0.90857947], shape=(2,), dtype=float32)",126,150,0.8757249116897583,0.8934911489486694,1033,1057,0.2688569128513336,0.74747473,"tf.Tensor([0.6231156  0.81012654], shape=(2,), dtype=float32)",78,77,0.7398648858070374,0.7373737096786499,220,219,0.585291326,Alternative_CNN,6
